Instance;d_0;k_0;MismatchedOutliers;OurObj;intercept;slopes
../src/instance_set/toy_30_10_02_2_0_5_-10_4.dat;4;3;18;0.678920;1.157677;0.299314~-0.000000~0.209507~-0.079000~1.012715~0.273530~-0.031778~0.305356~0.153148
../src/instance_set/toy_30_10_02_2_0_5_-10_4.dat;8;3;18;4.661865;0.732962;1.365982~0.307771~1.772463~0.347998~1.085766~1.170824~0.360553~-0.593796~-1.033471
../src/instance_set/toy_30_10_02_2_0_5_-10_5.dat;4;3;18;0.561926;0.901022;-0.000000~0.454518~-0.329223~0.364053~0.741178~-0.223705~0.168573~0.057315~-0.212726
../src/instance_set/toy_30_10_02_2_0_5_-10_5.dat;8;3;18;2.420405;0.359698;-0.197794~0.772278~0.724896~0.790928~1.014453~-0.224882~-1.021301~-0.963979~0.047267
../src/instance_set/toy_30_10_02_2_0_5_-10_6.dat;4;3;18;1.692264;0.481386;1.353155~0.647499~-0.380603~0.205921~0.766956~0.359235~-0.460756~-0.092523~0.094098
../src/instance_set/toy_30_10_02_2_0_5_-10_6.dat;8;3;18;3.020945;0.658094;1.608183~1.145650~0.387492~1.036520~0.892148~0.097682~0.104412~0.291765~0.130769
../src/instance_set/toy_30_10_02_2_0_5_-10_7.dat;4;3;18;1.542515;-0.033561;1.403110~0.096193~0.029394~0.386180~0.794915~-0.483632~-0.196829~0.228951~-0.010565
../src/instance_set/toy_30_10_02_2_0_5_-10_7.dat;8;3;18;2.888110;0.177135;1.428243~0.837215~1.173457~0.714844~1.063845~-0.073270~0.042796~0.091184~0.011482
../src/instance_set/toy_30_10_02_2_0_5_-10_8.dat;4;3;18;0.865324;0.267590;0.537636~0.718878~0.393427~-0.209741~0.562717~0.612072~0.053485~0.057914~-0.168926
../src/instance_set/toy_30_10_02_2_0_5_-10_8.dat;8;3;18;3.228316;0.532670;0.710280~1.340233~0.433717~1.047649~1.083096~0.401464~0.792957~-0.034620~0.951830
../src/instance_set/toy_30_10_02_2_0_5_-10_9.dat;4;3;18;1.737799;0.676408;0.997254~0.848235~0.459329~1.051940~0.635907~0.024313~0.009613~-0.136674~0.142393
